인터페이스 분류,통신 방식,호출 성격,Extension 관점,기능,인터페이스 ID,세부 그룹,대상 시스템,시그니처/메시지 형식,설명,실패 조건,입력값,출력값,선행 조건,부작용/후속 동작,비고
Module API,Direct Call,Query,Internal,Git 상태 조회,I-03-getStatus,GitClient,Git CLI,getStatus(): Promise<GitStatus>,현재 브랜치 및 staged/unstaged/untracked 상태를 반환한다,git status 실패,없음 또는 repoPath,Promise<GitStatus>,Git 저장소 존재,GIT_STATUS_UPDATED 전송 가능,repoPath 인자 추가 권장
Module API,Direct Call,Query,Internal,브랜치 목록 조회,I-03-getBranches,GitClient,Git CLI,getBranches(): Promise<BranchInfo[]>,로컬 브랜치 목록을 반환한다,git branch 실패,없음 또는 repoPath,Promise<BranchInfo[]>,Git 저장소 존재,BRANCH_LIST 전송 가능,
Module API,Direct Call,Query,Internal,병합 완료 브랜치 조회,I-03-getMergedBranches,GitClient,Git CLI,getMergedBranches(): Promise<string[]>,병합 완료된 브랜치명을 반환한다,git branch --merged 실패,없음 또는 repoPath,Promise<string[]>,Git 저장소 존재,브랜치 정리 후보 계산,
Module API,Direct Call,Query,Internal,staged diff 조회,I-03-getStagedDiff,GitClient,Git CLI,getStagedDiff(): Promise<string>,staged 변경사항 diff 텍스트를 반환한다,git diff --staged 실패,없음 또는 repoPath,Promise<string>,staged 변경사항 존재,AI 추천 입력 구성,
Module API,Direct Call,Query,Internal,두 브랜치 diff 조회,I-03-getDiff,GitClient,Git CLI,"getDiff(base: string, branch: string): Promise<DiffResult[]>",두 브랜치 간 diff 결과를 반환한다,git diff 실패,"base, branch",Promise<DiffResult[]>,두 브랜치 존재,ConflictAnalyzer 입력 구성,
Module API,Direct Call,Query,Internal,merge base 조회,I-03-getMergeBase,GitClient,Git CLI,"getMergeBase(source: string, target: string): Promise<string>",두 브랜치의 공통 조상 커밋 해시를 반환한다,git merge-base 실패,"source, target",Promise<string>,두 브랜치 존재,충돌 분석 선행 단계,
Module API,Direct Call,Query,Internal,워크트리 조회,I-03-getWorktrees,GitClient,Git CLI,getWorktrees(): Promise<WorktreeInfo[]>,현재 저장소의 워크트리 정보를 반환한다,git worktree 명령 실패,없음 또는 repoPath,Promise<WorktreeInfo[]>,Git 저장소 존재,UI 표시,
Module API,Direct Call,Query,Internal,로그 조회,I-03-getLog,GitClient,Git CLI,getLog(limit?: number): Promise<LogEntry[]>,최근 커밋 로그를 반환한다,git log 실패,limit,Promise<LogEntry[]>,Git 저장소 존재,PR 추천 보조 입력 가능,
Module API,Direct Call,Command,Internal,병합 실행,I-03-runMerge,GitClient,Git CLI,"runMerge(source: string, target: string): Promise<MergeResult>",두 브랜치 병합을 실행하고 결과를 반환한다,git merge 실패,"source, target",Promise<MergeResult>,두 브랜치 존재,MERGE_COMPLETE 또는 conflict 후속 처리,호출 주체 표기 통일 필요
Module API,Direct Call,Command,Internal,병합 계속,I-03-runMergeContinue,GitClient,Git CLI,runMergeContinue(): Promise<void>,중단된 병합을 계속 진행한다,git merge --continue 실패,없음,Promise<void>,병합 진행 중 상태,상태 갱신,
Module API,Direct Call,Command,Internal,병합 중단,I-03-runMergeAbort,GitClient,Git CLI,runMergeAbort(): Promise<void>,진행 중 병합을 중단한다,git merge --abort 실패,없음,Promise<void>,병합 진행 중 상태,상태 갱신,
Module API,Direct Call,Command,Internal,브랜치 생성,I-03-createBranch,GitClient,Git CLI,createBranch(name: string): Promise<void>,새 브랜치를 생성한다,git checkout -b 또는 git branch 실패,name,Promise<void>,브랜치명 유효,브랜치 목록 갱신,전환 포함 여부 분리 권장
Module API,Direct Call,Command,Internal,브랜치 삭제,I-03-deleteBranch,GitClient,Git CLI,"deleteBranch(name: string, force?: boolean): Promise<void>",로컬 브랜치를 삭제한다,"현재 브랜치 삭제 시도, git branch -d 실패","name, force",Promise<void>,대상 브랜치 존재,브랜치 목록 갱신,
Module API,Direct Call,Command,Internal,커밋 실행,I-03-runCommit,GitClient,Git CLI,"runCommit(message: string, body?: string): Promise<void>",주어진 메시지로 커밋을 생성한다,git commit 실패,"message, body",Promise<void>,staged 변경사항 존재,Git 상태 갱신,
Module API,Direct Call,Command,Internal,스냅샷 생성,I-04-createSnapshot,SnapshotManager,Local Storage,"createSnapshot(files: SnapshotFile[], reason: SnapshotReason): Promise<string>",스냅샷 파일과 메타데이터를 저장하고 snapshotId를 반환한다,"파일 쓰기 실패, metadata 기록 실패","files, reason",Promise<string>,저장 대상 파일 존재,"SNAPSHOT_CREATED 전송, pruneOldSnapshots 실행",AI 실행 직전용 인터페이스 별도 명시 권장
Module API,Direct Call,Query,Internal,스냅샷 목록 조회,I-04-listSnapshots,SnapshotManager,Local Storage,listSnapshots(): Promise<SnapshotMeta[]>,저장된 스냅샷 목록을 반환한다,인덱스 조회 실패,없음,Promise<SnapshotMeta[]>,저장소 초기화 완료,SNAPSHOT_LIST 전송,
Module API,Direct Call,Query,Internal,스냅샷 단건 조회,I-04-getSnapshot,SnapshotManager,Local Storage,getSnapshot(snapshotId: string): Promise<SnapshotMeta>,특정 스냅샷 메타데이터를 반환한다,메타데이터 없음,snapshotId,Promise<SnapshotMeta>,snapshotId 존재,상세 표시 가능,
Module API,Direct Call,Command,Internal,스냅샷 원복,I-04-restore,SnapshotManager,Local Storage,restore(snapshotId: string): Promise<void>,선택한 스냅샷 파일 상태로 복구한다,"복구 대상 파일 없음, 파일 쓰기 실패",snapshotId,Promise<void>,"snapshotId 존재, 파일 존재","RESTORE_DONE 전송, 상태 갱신",pre_restore 스냅샷 생성 권장
