컴포넌트,세부 그룹,Function ID,기능명,기능 설명,우선순위
깃 작업,브랜치명 추천,F-04,브랜치명 추천 생성,사용자가 입력한 작업 목적을 바탕으로 브랜치명 후보를 생성하는 기능,
깃 작업,커밋명 추천,F-08,커밋명 추천 생성,짧은 한 줄 커밋 제목을 추천하는 기능,
깃 작업,커밋명 추천,F-09,커밋 본문 추천 생성,변경사항 기반으로 커밋 메세지 추천,
깃 작업,PR description 추천,F-12,PR description 추천 생성,변경사항 기반으로 pr description 추천,
깃 작업,브랜치 정리,F-20,브랜치 일괄 삭제,사용자가 원하는 브랜치 다중 선택 및 일괄 삭제,
깃 작업,브랜치 정리,F-17,브랜치 자동 삭제 (On/Off),"On/Off 기능으로, 일정 기간 사용하지 않은 브랜치 삭제 및 병합된 브랜치 삭제",
깃 작업,브랜치명 추천,F-05,브랜치명 직접 수정,추천된 브랜치명을 사용자가 직접 편집하는 기능,
깃 작업,브랜치명 추천,F-06,브랜치명 선택 및 적용,추천 목록에서 선택하거나 수정한 브랜치명을 실제 생성 단계에 반영하는 기능,
깃 작업,커밋명 추천,F-07,커밋 대상 변경사항 수집,현재 staged 또는 working tree의 변경사항을 수집하는 기능,
깃 작업,커밋명 추천,F-11,커밋 메시지 선택 및 적용,추천 목록 중 선택 또는 수정한 메시지로 실제 커밋을 수행하는 기능,
깃 작업,커밋명 추천,F-10,커밋 메시지 직접 수정,추천된 메시지를 사용자가 수정하는 기능,
깃 작업,브랜치 정리,F-16,로컬 브랜치 목록 조회,현재 저장소의 로컬 브랜치 목록을 불러오는 기능,
깃 작업,브랜치 정리,F-18,자동 삭제 조건 설정,"일정 기간 미사용, 이미 병합 완료 등 삭제 기준을 설정하는 기능",
깃 작업,브랜치 정리,F-19,삭제 전 경고 표시,"현재 브랜치, 미병합 브랜치 등 위험 요소를 안내하는 기능",
깃 작업,PR description 추천,F-13,PR 대상 브랜치 비교,현재 브랜치와 기준 브랜치를 비교해 PR용 변경 내역을 수집하는 기능,
깃 작업,PR description 추천,F-14,PR description 직접 수정,선택한 초안을 사용자가 편집하는 기능,
깃 작업,PR description 추천,F-15,PR description 선택 및 복,추천된 초안 중 하나를 선택하고 복사하는 기능,
깃 작업,공통,F-02,추천 결과 재생성,마음에 들지 않을 때 추천 결과를 다시 생성하는 기능,
깃 작업,,,,,
깃 작업,GUI,F-01,GUI 기반 git 명령어 실행,기존 git 명령어를 gui 기반으로 쉽게 사용하는 기능,
깃 작업,공통,F-03,입력값 검증 및 실패 안내 메시지,"빈 프롬프트, 너무 긴 입력, 특수문자 문제 등을 확인하는 기능, Git 명령 실패, 추천 실패, 삭제 실패 시 이유를 보여주는 기능",
Safety Layer,세션 관리,F-22,수동 편집 세션 시작,사용자가 직접 코드 수정 시 세션을 생성하고 기준 시점을 기록,
Safety Layer,스냅샷 관리,F-26,수동 편집 작업 스냅샷 자동 생성,유휴 상태시 수동 편집 세션 마감 후 스냅샷 생성,
Safety Layer,스냅샷 관리,F-29,체크포인트 지정,사용자가 특정 스냅샷을 체크포인트로 지정하면 GUI에서 노란색으로 강조 표시,
,,,,,
,,,,,
,,,,,
,,,,,
Safety Layer,,,,,
Safety Layer,세션 관리,F-21,AI 작업 세션 시작,AI 작업을 시작할 때 세션을 생성하고 기준 시점을 기록,
Safety Layer,세션 관리,F-23,세션별 변경 파일 추적,작업 세션 동안 변경된 파일 목록을 누적 기록,
