인터페이스 분류,통신 방식,호출 성격,Extension 관점,기능,인터페이스 ID,세부 그룹,대상 시스템,시그니처/메시지 형식,설명,실패 조건,입력값,출력값,선행 조건,부작용/후속 동작,비고
MESSAGE,postMessage 프로토콜,Contract,Inbound,Webview 메시지 수신,I-01,Webview → Extension,Extension Host,"{ type: string, payload?: unknown }",Webview가 Extension Host로 요청 메시지를 전달한다,"payload 형식 불일치, 지원하지 않는 type","type, payload",처리 모듈 호출 또는 오류 응답,Webview 초기화 완료,각 처리 모듈로 분기 실행,requestId 필드 추가 권장
MESSAGE,postMessage 프로토콜,Contract,Outbound,Webview 메시지 발신,I-02,Extension → Webview,Webview,"{ type: string, payload?: unknown }",Extension Host가 처리 결과를 Webview에 전달한다,"panel dispose, payload 누락","type, payload",Webview 상태 갱신,Webview panel 활성 상태,UI 렌더링 또는 오류 표시,requestId 필드 추가 권장
MESSAGE,postMessage 프로토콜,Command,Inbound,스냅샷 원복 요청 메시지,I-01-RESTORE_SNAPSHOT,Webview → Extension,SnapshotManager,RESTORE_SNAPSHOT { snapshotId: string },선택한 스냅샷으로 원복을 요청한다,"snapshotId 없음, 원복 대상 파일 없음",snapshotId,restore(snapshotId) 실행 결과,snapshotId 존재,원복 성공 시 RESTORE_DONE 전송,원복 전 pre_restore 스냅샷 생성 검토
MESSAGE,postMessage 프로토콜,Command,Inbound,충돌 분석 요청 메시지,I-01-ANALYZE_CONFLICT,Webview → Extension,ConflictAnalyzer,"ANALYZE_CONFLICT { source: string, target: string }",두 브랜치 간 충돌 후보 분석을 요청한다,"브랜치 조회 실패, diff 추출 실패","source, target",ConflictCandidate[],source/target 브랜치 존재,CONFLICT_RESULT 전송,M-05 호출로 연결
MESSAGE,postMessage 프로토콜,Command,Inbound,병합안 수락 메시지,I-01-ACCEPT_MERGE,Webview → Extension,AIClient,"ACCEPT_MERGE { filePath: string, code: string }",선택한 AI 병합안을 적용 요청한다,파일 쓰기 실패,"filePath, code",적용 결과,해당 파일 존재,충돌 마커 재검사 가능,적용 책임 모듈 명확화 필요
MESSAGE,postMessage 프로토콜,Command,Inbound,병합안 거절 메시지,I-01-REJECT_MERGE,Webview → Extension,AIClient,REJECT_MERGE { filePath: string },선택한 AI 병합안을 거절한다,제안 정보 없음,filePath,거절 처리 결과,대상 제안 존재,다음 제안 유지 또는 UI 갱신,상태 기록 여부 검토
MESSAGE,postMessage 프로토콜,Command,Inbound,병합 실행 요청 메시지,I-01-RUN_MERGE,Webview → Extension,GitClient,"RUN_MERGE { source: string, target: string }",Git 병합 실행을 요청한다,git merge 실패,"source, target",MergeResult,브랜치 존재,MERGE_COMPLETE 또는 ERROR 전송,runMerge 호출 주체 일관화 필요
MESSAGE,postMessage 프로토콜,Command,Inbound,커밋 추천 요청 메시지,I-01-RECOMMEND_COMMIT,Webview → Extension,AIClient,"RECOMMEND_COMMIT { diffText: string, tag?: string }",변경 내역 기반 커밋 메시지 추천을 요청한다,"AI 응답 실패, diff 비어 있음","diffText, tag",CommitSuggestion,diffText 존재,COMMIT_SUGGESTIONS 전송,staged diff를 Host에서 수집하는 방식으로 통일 권장
MESSAGE,postMessage 프로토콜,Command,Inbound,브랜치명 추천 요청 메시지,I-01-RECOMMEND_BRANCH,Webview → Extension,AIClient,RECOMMEND_BRANCH { purpose: string },작업 목적 기반 브랜치명 추천을 요청한다,AI 응답 실패,purpose,string[],purpose 존재,BRANCH_SUGGESTIONS 전송,
MESSAGE,postMessage 프로토콜,Command,Inbound,PR 추천 요청 메시지,I-01-RECOMMEND_PR,Webview → Extension,AIClient,RECOMMEND_PR { base: string },기준 브랜치를 바탕으로 PR 설명 추천을 요청한다,"diff/commit 수집 실패, AI 응답 실패",base,string,base 존재,PR_SUGGESTION 전송,Webview 입력과 AIClient 입력 계약 연결 보강 필요
MESSAGE,postMessage 프로토콜,Command,Inbound,커밋 실행 요청 메시지,I-01-APPLY_COMMIT,Webview → Extension,GitClient,"APPLY_COMMIT { message: string, body?: string }",선택한 메시지로 커밋 실행을 요청한다,git commit 실패,"message, body",실행 결과,staged 변경사항 존재,GIT_STATUS_UPDATED 전송,
